clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,proposed,64.59773248744713,-23.890778475790533,18.413217659638658,0.49229965722293517,0.05909743755154441,0.4710716637954336,-0.16660860900681485,-1.6063813091670873,,,,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,gain_matched_exposure,64.59773248744712,-22.45100577563026,16.083217107803456,0.46712379175462637,0.07332821818690291,0.16660860900681546,-0.16660860900682906,-0.16660860900681485,0.9810012698499893,1.4210854715202004e-14,laeq,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,gain_matched_loudness,63.15795978728684,-23.89077847579054,16.083217107803453,0.3957704388979649,0.062127302457505106,1.6049540459576068,-1.606381309167105,-1.6063813091670944,0.831152919164379,7.105427357601002e-15,lufs,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,limiter_matched_exposure,64.76434109645395,-22.284397166623446,16.083217107803453,0.4761704251678054,0.07474834176118444,0.0,0.0,0.0,,0.16660860900681485,laeq,84.0
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,limiter_matched_loudness,62.76335313976415,-23.953007314374176,17.479065510360428,0.4760765955230486,0.0636390306810659,1.7226463882844263,-2.000987956689798,-1.66861014775073,,0.0622288385836427,lufs,69.0
479941__liezen3__men-choir,original,64.7793744880197,-26.93693078915098,16.283540139468336,0.27780135845368475,0.0426144961684154,,,,,,,
479941__liezen3__men-choir,proposed,64.76560289219853,-26.98667234384848,15.968935608054185,0.26615942734170595,0.04233456221402772,0.24883650631382126,-0.013771595821168603,-0.04974155469749775,,,,
479941__liezen3__men-choir,gain_matched_exposure,64.76560289219853,-26.95070238497215,16.283540139468336,0.27736124962370784,0.042546983841790606,0.009460730224790583,-0.013771595821168603,-0.013771595821168603,0.9984157427003717,0.0,laeq,
479941__liezen3__men-choir,gain_matched_loudness,64.7296329333222,-26.98667234384848,16.28354013946834,0.2762150177496447,0.04237115283046195,0.03417116186573686,-0.04974155469750485,-0.04974155469749775,0.9942896582188436,0.0,lufs,
479941__liezen3__men-choir,limiter_matched_exposure,64.60600488959831,-27.102067111745797,14.906100104197922,0.23261837604885155,0.04181566562440935,0.07634490679107447,-0.1733695984213881,-0.16513632259481525,,0.1595980026002195,laeq,72.0
479941__liezen3__men-choir,limiter_matched_loudness,64.60600488959831,-27.102067111745797,14.906100104197922,0.23261837604885155,0.04181566562440935,0.07634490679107447,-0.1733695984213881,-0.16513632259481525,,0.11539476789731751,lufs,72.0
529808__logicogonist__bass-loop-and-drums-130-bpm,original,74.61637592672903,-9.398431986470925,8.164378187033655,1.0192935978801778,0.39818086626265087,,,,,,,
529808__logicogonist__bass-loop-and-drums-130-bpm,proposed,73.83739106833607,-12.479098945970401,14.802183976458934,1.445773720770335,0.2630214257917746,0.5408656514317592,-0.7789848583929597,-3.080666959499476,,,,
529808__logicogonist__bass-loop-and-drums-130-bpm,gain_matched_exposure,73.83739106833607,-10.17741684486389,8.164378187033654,0.9318586770542074,0.36402494436880645,0.7395464811940929,-0.7789848583929597,-0.778984858392965,0.914220082410202,0.0,laeq,
529808__logicogonist__bass-loop-and-drums-130-bpm,gain_matched_loudness,71.53570896722955,-12.479098945970398,8.164378187033652,0.7149339954558356,0.2792846322426204,2.904873384556948,-3.0806669594994815,-3.0806669594994727,0.7014014381554853,3.552713678800501e-15,lufs,
529808__logicogonist__bass-loop-and-drums-130-bpm,limiter_matched_exposure,73.80162663569297,-9.864703549036236,8.567314631947346,1.0166005660025552,0.3791269137666581,0.7527911144056859,-0.8147492910360654,-0.46627156256531066,,0.03576443264310569,laeq,78.0
529808__logicogonist__bass-loop-and-drums-130-bpm,limiter_matched_loudness,70.75645303531046,-12.58072693710386,11.116185527911739,1.0017432278074028,0.27857820692428226,3.356276355057354,-3.8599228914185773,-3.1822949506329348,,0.10162799113345855,lufs,72.75
541260__bertsz__drum-and-bass-loop,original,75.05606559584726,-13.40577453663615,11.971138993233971,0.9976040124893188,0.2514208194833289,,,,,,,
