clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,matched_to,gain,match_error,match_metric,limiter_target_dba
380303__evanboyerman__various-male-command-voice-lines-mixed,limiter_matched_exposure,70.68071244612966,-18.32796309749544,18.442893450433182,0.895294189453125,0.10710779861805778,0.8770059509130336,-1.6472879020139573,-1.436520988064359,,,0.045833121968058776,laeq,79.5
380303__evanboyerman__various-male-command-voice-lines-mixed,limiter_matched_loudness,70.68071244612966,-18.32796309749544,18.442893450433182,0.895294189453125,0.10710779861805778,0.8770059509130336,-1.6472879020139573,-1.436520988064359,,,0.14119819648648857,lufs,79.5
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,original,64.76434109645395,-22.284397166623446,16.083217107803453,0.4761704251678054,0.07474834176118444,,,,,,,,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,proposed,64.59773248744713,-23.890778475790533,18.413217659638658,0.49229965722293517,0.05909743755154441,0.4710716637954336,-0.16660860900681485,-1.6063813091670873,,,,,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,aligned,64.60180735092084,-22.374449376263406,16.08155091713513,0.47146445096749723,0.07402380516674356,0.0447989930331445,-0.16253374553311062,-0.09005220963996052,,,,,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,gain_matched_exposure,64.59773248744712,-22.45100577563026,16.083217107803456,0.46712379175462637,0.07332821818690291,0.16660860900681546,-0.16660860900682906,-0.16660860900681485,proposed,0.9810012698499893,1.4210854715202004e-14,laeq,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,gain_matched_loudness,63.15795978728684,-23.89077847579054,16.083217107803453,0.3957704388979649,0.062127302457505106,1.6049540459576068,-1.606381309167105,-1.6063813091670944,proposed,0.831152919164379,7.105427357601002e-15,lufs,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,aligned_gain_matched_exposure,64.60180735092082,-22.44693091215655,16.083217107803456,0.46734298775158417,0.07336262716408269,0.16253374553311065,-0.16253374553312483,-0.1625337455331035,aligned,0.981461600826825,1.4210854715202004e-14,laeq,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,aligned_gain_matched_loudness,64.67428888681398,-22.37444937626339,16.083217107803453,0.4712591629237478,0.07397738100996129,0.09005220963996041,-0.09005220963996408,-0.09005220963994276,aligned,0.9896859149907792,1.7763568394002505e-14,lufs,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,limiter_matched_exposure,64.76434109645395,-22.284397166623446,16.083217107803453,0.4761704251678054,0.07474834176118444,0.0,0.0,0.0,,,0.16660860900681485,laeq,84.0
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,limiter_matched_loudness,62.76335313976415,-23.953007314374176,17.479065510360428,0.4760765955230486,0.0636390306810659,1.7226463882844263,-2.000987956689798,-1.66861014775073,,,0.0622288385836427,lufs,69.0
479941__liezen3__men-choir,original,64.7793744880197,-26.93693078915098,16.283540139468336,0.27780135845368475,0.0426144961684154,,,,,,,,
479941__liezen3__men-choir,proposed,64.76560289219853,-26.98667234384848,15.968935608054185,0.26615942734170595,0.04233456221402772,0.24883650631382126,-0.013771595821168603,-0.04974155469749775,,,,,
479941__liezen3__men-choir,aligned,64.6598096840627,-27.047173818266696,14.81189202939258,0.23157864931647804,0.04208273091108452,0.0366990596038368,-0.11956480395700453,-0.11024302911571482,,,,,
479941__liezen3__men-choir,gain_matched_exposure,64.76560289219853,-26.95070238497215,16.283540139468336,0.27736124962370784,0.042546983841790606,0.009460730224790583,-0.013771595821168603,-0.013771595821168603,proposed,0.9984157427003717,0.0,laeq,
479941__liezen3__men-choir,gain_matched_loudness,64.7296329333222,-26.98667234384848,16.28354013946834,0.2762150177496447,0.04237115283046195,0.03417116186573686,-0.04974155469750485,-0.04974155469749775,proposed,0.9942896582188436,0.0,lufs,
479941__liezen3__men-choir,aligned_gain_matched_exposure,64.6598096840627,-27.056495593107986,16.283540139468336,0.2740035091953731,0.04203190926687033,0.08210588959771525,-0.11956480395700453,-0.11956480395700453,aligned,0.9863289032154072,0.0,laeq,
479941__liezen3__men-choir,aligned_gain_matched_loudness,64.66913145890399,-27.047173818266696,16.283540139468336,0.27429773007660097,0.042077042504106994,0.0757287721525424,-0.11024302911570771,-0.11024302911571482,aligned,0.9873880084799228,0.0,lufs,
479941__liezen3__men-choir,limiter_matched_exposure,64.60600488959831,-27.102067111745797,14.906100104197922,0.23261837604885155,0.04181566562440935,0.07634490679107447,-0.1733695984213881,-0.16513632259481525,,,0.1595980026002195,laeq,72.0
479941__liezen3__men-choir,limiter_matched_loudness,64.60600488959831,-27.102067111745797,14.906100104197922,0.23261837604885155,0.04181566562440935,0.07634490679107447,-0.1733695984213881,-0.16513632259481525,,,0.11539476789731751,lufs,72.0
529808__logicogonist__bass-loop-and-drums-130-bpm,original,74.61637592672903,-9.398431986470925,8.164378187033655,1.0192935978801778,0.39818086626265087,,,,,,,,
529808__logicogonist__bass-loop-and-drums-130-bpm,proposed,73.83739106833607,-12.479098945970401,14.802183976458934,1.445773720770335,0.2630214257917746,0.5408656514317592,-0.7789848583929597,-3.080666959499476,,,,,
