clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,ablation_mid_low,64.59773248744713,-23.890778475790533,18.413217659638658,0.49229965722293517,0.05909743755154441,0.4710716637954336,-0.16660860900681485,-1.6063813091670873
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,ablation_mid_high,64.76434109645334,-22.28413554253076,16.847444131657127,0.5199645903925867,0.07474834176118074,0.012394273405390848,-6.110667527536862e-13,0.00026162409268692954
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,ablation_full,64.59773248744713,-23.890778475790533,18.413217659638658,0.49229965722293517,0.05909743755154441,0.4710716637954336,-0.16660860900681485,-1.6063813091670873
479941__liezen3__men-choir,original,64.7793744880197,-26.93693078915098,16.283540139468336,0.27780135845368475,0.0426144961684154,,,
479941__liezen3__men-choir,broadband_limiter,64.7793744880197,-26.93693078915098,16.283540139468336,0.27780135845368475,0.0426144961684154,0.0,0.0,0.0
479941__liezen3__men-choir,ablation_crossover_only,64.77937448801828,-26.936926191203998,15.971256662312497,0.2679909888859539,0.042614496168403425,0.01648639063109759,-1.4210854715202004e-12,4.5979469831536335e-06
479941__liezen3__men-choir,ablation_mid_only,64.77937448801828,-26.936926191203998,15.971256662312497,0.2679909888859539,0.042614496168403425,0.01648639063109759,-1.4210854715202004e-12,4.5979469831536335e-06
479941__liezen3__men-choir,ablation_mid_low,64.76560289219853,-26.98667234384848,15.968935608054185,0.26615942734170595,0.04233456221402772,0.24883650631382126,-0.013771595821168603,-0.04974155469749775
479941__liezen3__men-choir,ablation_mid_high,64.77937448801828,-26.936926191203998,15.971256662312497,0.2679909888859539,0.042614496168403425,0.01648639063109759,-1.4210854715202004e-12,4.5979469831536335e-06
479941__liezen3__men-choir,ablation_full,64.76560289219853,-26.98667234384848,15.968935608054185,0.26615942734170595,0.04233456221402772,0.24883650631382126,-0.013771595821168603,-0.04974155469749775
529808__logicogonist__bass-loop-and-drums-130-bpm,original,74.61637592672903,-9.398431986470925,8.164378187033655,1.0192935978801778,0.39818086626265087,,,
